"","X","Y","DDEG0","SLOPE","MIND","SOLRAD","TPI"
"479",571799.5,117699.5,7667,20.62,796,6017650,199
"480",574750,146348.6,26600,26.38,-169,8042499,-86
"481",570900,135200,23042,28.66,-37,7093200,21
"482",570709.9,122288.1,22276,17.58,131,5075273,128
"483",560737.6,143528.2,31148,29.54,-128,7074969,-67
"484",560901,142299.9,29700,25.5,-44,7430183,115
"485",583260.3,130892.4,3666,39.2,1365,7958370,459
"486",581883.4,130635.3,4791,31.56,1213,7951475,448
"487",572004.8,148103.8,18655,19.15,55,7702732,-158
"488",580596.6,133307,20773,11.69,148,6729179,-94
"489",579103.4,152501.4,13878,21.86,272,7790345,102
"490",572196.4,137698.4,16375,24.01,167,8026187,27
"491",580599.5,126794.6,12515,15.04,464,7699798,-98
"492",581100.4,154798.8,19948,2.68,102,6305587,-129
"493",579503.2,125604.8,13167,36.87,406,7927700,26
"494",581097,154305.9,19949,7.55,181,5937764,-144
"495",580602.7,125896.4,13763,31.25,382,7957283,-55
"496",571498.3,135601.9,21895,13.69,-18,6924094,-79
"497",567400,136200,12456,12.68,274,7254976,129
"498",574702.8,143702,21045,8.58,88,6161571,145
"499",581199.1,154799.7,19949,0.8,113,6303257,-142
"500",556700.3,149126.1,31994,28.48,-197,7331386,-53
"501",566906.4,128404.5,31022,13.94,-240,6683071,-55
"502",580390.8,131206.1,11166,58.75,697,7569126,330
"503",580497.4,131200.7,10850,41.56,695,7946864,324
"504",568200.2,139899.8,21279,9.28,130,5585606,-120
"505",568000.3,127999.3,22985,6.78,8,6127503,153
"506",571600.3,117598.4,7560,43.4,847,6947993,230
"507",570099.3,141295.4,22632,9.64,29,5906565,-79
"508",576799.8,121598.6,9285,46.84,886,3349675,191
"509",571399.4,141299.9,21407,17.02,139,5122921,-44
"510",570000,124100,30427,16.93,-341,7452917,-27
"511",567302,142705.6,21800,23.38,107,6675279,-119
"512",567598.2,141003.6,15102,26.98,313,7950105,146
"513",576501.3,144798.9,20358,11.49,229,5416127,120
"514",565990.8,142202.1,17308,27.56,315,7854095,-15
"515",577904.8,141703.9,22137,30.64,117,7192037,-114
"516",573801.8,144002.7,23281,18.55,127,4919298,-22
"517",569696.8,142495.1,17484,26.52,93,8157599,187
"518",580805.96,127042.88,11863,30.77,551,8379200,-200
"519",580747.05,126947.96,12194,25.69,497,8116670,-143
"520",579493.24,127048.15,12716,27,445,8282618,-114
"521",580243.28,127611.51,8509,48.28,892,8337296,-92
"522",580259.37,127455.27,9640,36.34,773,8216018,-116
"523",580202.34,127087.23,11532,22.42,555,7904029,-87
"524",579149.56,126813.48,14121,13.87,355,7359730,-131
"525",578564.43,123658.45,9701,50.18,698,5418420,91
"526",580244,127614,8509,48.28,892,8337296,-92
"527",579125.98,124114.63,11112,31.5,709,4968919,-264
"528",578588,123645.8,9950,36.74,663,5919337,81
"529",579132.85,124078.65,11084,31.8,741,4672297,-234
"530",579228.68,124056.79,10322,56.11,828,5147225,-168
"531",579221,123601,9581,30.11,890,4212227,-170
"532",578616.29,123647.95,10077,28.8,651,6217965,54
"533",579287,123540,8922,35.63,940,4106410,-138
"534",579146,123696,10223,15.42,759,4582849,-166
"535",578454.92,127133.81,15396,25.55,304,8108509,-150
"536",578503.27,127285.06,14111,42.24,398,8472652,-112
"537",578439.11,127104.02,15581,24.59,300,8016693,-151
"538",578480.98,127199.27,14918,27.34,345,8037474,-154
"539",576498,125302,18722,30.87,569,2977007,-179
"540",577231,125337,14745,58.6,949,2269933,-198
"541",577095,125563,17424,29.66,482,3954780,-65
"542",577002,125737.1,19046,29.86,452,3777157,-147
"543",576486,125157,17424,35.19,850,1696385,-204
"544",577191,125438,16078,35.56,520,3540084,-172
"545",580384,126010,13136,23.53,426,6828358,-15
"546",580205,125430,12932,24.74,537,5567842,6
"547",580713,126950,12183,25.27,498,8081326,-132
"548",580735,126895,12423,21.54,470,7889651,-133
"549",580700,127022,11788,30.19,560,8320361,-139
"550",580692,127093,11403,31.46,590,8359872,-131
"551",581187.6,126615.4,13136,10.55,491,6267949,-57
"552",579979.6,125113.6,12183,10.51,484,6183604,72
"553",579975.2,125451.3,12728,6.68,462,6484934,-25
"554",579320.9,125692.3,13136,12.29,479,5822170,21
"555",579713.3,126380.6,13881,6.87,436,6619740,-81
"556",577953.2,126367.3,14703,7.99,361,5842147,56
"557",579850.8,126387.2,13809,6.32,439,6110468,-83
"558",580320.4,126280,13571,9.41,476,5734838,-73
"559",579099.5,126315.5,14918,7.47,371,6351340,-106
"560",579874,125137.7,12293,14.81,484,6315299,26
"561",579966.4,126392.9,13733,7.48,442,6393106,-83
"562",578659,125442.1,13881,16.32,451,5357232,-18
"563",579856.2,126390.9,13809,6.32,439,6110468,-83
"564",579864.5,125055.5,12393,13.1,479,6258756,-18
"565",579059.7,125383.8,14260,7.32,377,6151994,-114
"566",577877,126293.4,14352,11.25,381,5793951,147
"567",580710.1,126347,13403,2.68,445,6602889,-59
"568",579022.2,126207.6,14948,4.9,355,6383837,-96
"569",580670.9,126348.4,13448,3.84,444,6433538,-62
"570",580291.9,125169.4,13106,3.55,437,5632709,-89
"571",579896.4,125666.6,12932,6.2,461,6479239,-1
"572",578925.1,125419.7,14320,6.07,385,6168006,-77
"573",579842.5,125477.5,12919,14.29,509,6437607,-11
"574",578146.2,125630.2,13519,11.64,353,7062649,-114
"575",580927.4,126331,13197,7.45,409,7311383,-30
"576",579903.3,124812.2,12324,4.99,598,4757929,-218
"577",580380.3,126279.7,13541,11.36,490,5509971,-71
"578",578957.5,126397.4,14978,5.91,338,6853479,-112
"579",577967.5,125936.5,12566,37.4,869,3445674,221
"580",580183.1,124903.7,12255,52.37,1077,2091903,-122
"581",579939.7,124680.7,11728,56.85,1094,2672661,-237
