"","IDENT","elev","PerSlope","aspect","Northness","Sdclass","Rockiness","VallyBotFlat","topowet","PPTann","pptColdQtr","pptWarmQtr","cvTemp","TempColdMin","TempColdMean","TempWarmMean","cvRad","annMeanRad","miAnnMean","miColdQtr","miWarmQtr","T0","T1","T2","GeolID","GeolClass","SOIL","Sandiness","Loaminess","K","Thor","Uran","THtoK","TotalC"
"85","GMOR9",246,1,323.375732,0.802564868,100,0,3.99,12.79,759,277,105,149,31,79,188,45,157,66,31,18,9105.58,8313.75,5765.18,3417,"Qrcp","sandy loam",1,0,0.19,4.15,1.6,0.79,893.24
"86","GMOR10",246,1,337.376556,0.923052896,100,0,3.99,12.83,759,277,105,149,31,79,188,45,157,66,31,18,10249.67,8272.63,4634.17,3417,"Qrcp","sandy loam",1,0,0.13,2.49,1.93,0.33,856.62
"87","GNLS1",243,3,202.757186,-0.922152463,100,0,2.74,9.79,754,274,106,148,32,79,187,45,156,66,31.59,18,1389.36,2326.92,5217.03,3417,"Qrcp","sandy clay loam",0,0,-0.1,1.79,6.04,-0.17,697.99
"88","GNLS2",240,3,223.729888,-0.722606653,100,0,2.68,10.81,752,273,105,148,32,80,188,45,156,66,32,18,1503.21,3415.69,6386.97,3417,"Qrcp","sandy clay loam",0,0,0.26,0.72,5.13,0.19,629.37
"89","GNLS3",240,2,213.173324,-0.837019159,100,0,2.74,12.6,752,273,105,148,32,80,188,45,156,66,32,18,1403.89,3017.48,6173.97,3417,"Qrcp","sandy clay loam",0,0,0.22,1.99,4.69,0.43,648.81
"90","GNLS4",240,3,224.976837,-0.707392586,100,0,2.71,10.3,751,273,105,148,32,80,188,45,157,66,32,18,1532.52,3487.93,6441.72,3417,"Qrcp","sandy clay loam",0,0,0.26,0.72,5.13,0.19,629.37
"91","GNLS5",237,2,221.692764,-0.74672219,100,0,2.95,12.61,749,272,105,148,32,80,188,45,157,66,32,18,1499.69,3535.38,6741.26,3417,"Qrcp","sandy clay loam",0,0,-0.55,2.02,1.77,-1.1,659.79
"92","GNLS6",236,3,210.96701,-0.857463709,100,0,2.94,13.87,748,271,105,148,32,80,188,45,157,65,32,18,1400.4,2888.92,6002.79,3417,"Qrcp","sandy clay loam",0,0,-0.5,2.63,1.9,-1.33,683.77
"93","GNLS7",236,4,203.205062,-0.919100531,100,0,2.89,14.37,747,271,105,148,32,80,188,45,157,65,32,18,1415.61,2453.92,5424.59,3417,"Qrcp","sandy clay loam",0,0,-0.35,1.56,3.15,-0.54,699.69
"94","GNLS8",237,6,181.508087,-0.99965362,100,0,1.56,10.08,748,272,105,148,32,80,188,45,157,65,32,18,1321.65,1681.48,4448.79,3417,"Qrcp","sandy clay loam",0,0,-0.21,-0.62,4.58,0.13,692.85
"95","GVVG1",220,0,138.766433,-0.752028883,100,0,5.99,12.7,716,255,103,146,33,81,187,45,157,65,33,18,1511.18,3544.07,6783.72,3857,"Czss","sandy loam",1,0,0.26,0.32,4.98,0.08,563.93
"96","GVVG2",220,0,229.754943,-0.646058132,100,0,5.99,12.5,715,254,103,146,33,81,187,45,157,65,33,18,1820.02,4171.3,7344.87,3857,"Czss","sandy loam",1,0,0.25,1.56,5.49,0.39,611.25
"97","VVG3",220,0,241.401657,-0.478666466,100,0,5.99,13.26,715,254,103,146,33,81,187,45,157,65,33,18,2492.28,5118.25,8032.71,3857,"Czss","sandy loam",1,0,0.08,3.31,5,0.26,647.79
"98","VVG4",220,0,252.71791,-0.297076412,100,0,5.99,13.54,714,254,103,146,33,81,187,45,157,65,33,18,3260.15,5944.45,8431.78,3857,"Czss","sandy loam",1,0,0.05,4.76,3.03,0.25,727.45
"99","GVV5",220,1,255.331451,-0.25322695,100,0,5.99,13.15,713,253,103,146,33,81,187,45,157,65,33,18,3441.88,6107.38,8459.63,3857,"Czss","sandy clay loam",0,0,0.05,4.8,3.58,0.26,779.04
"100","GVVG6",219,0,239.494537,-0.507620515,100,0,5.99,14.08,713,253,103,146,33,81,188,45,157,65,33,18,2360.92,4960.06,7926.36,3857,"Czss","silty clay loam",0,1,-0.04,4.79,3.7,-0.2,803.5
"101","GVVG7",219,0,261.042938,-0.155694238,100,0,5.99,12.16,713,253,103,146,33,81,188,45,157,65,33,18,3861.39,6462.05,8418.38,3857,"Czss","silty clay loam",0,1,0.09,5.86,4.19,0.51,807.26
